ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
광주,아파트,0,0,0,F,Y,N,N,N,0,0,104,0,0,0,0,0,0,0,Unknown,30대,Y
서울,공동주택,0,0,0,F,N,Y,N,N,1,0,103,0,0,0,0,0,0,0,기가라이트,60대,Y
서울,아파트,0,0,0,M,N,Y,N,N,0,0,97,0,0,0,0,0,0,0,Unknown,70대,Y
서울,공동주택,0,0,0,F,N,N,N,N,0,0,85,0,0,0,0,0,0,0,Unknown,50대,Y
대구,아파트,0,0,0,M,N,Y,N,N,0,0,2,35,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,95,0,0,0,0,0,0,0,Unknown,40대,Y
전북,단독주택,0,0,0,F,N,N,N,N,0,0,84,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,1,36,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,57,0,0,0,0,0,0,0,Unknown,60대,Y
서울,아파트,0,0,0,M,N,Y,N,Unknown,1,0,211,0,0,0,0,0,0,0,광랜,50대,Y
경기,아파트,0,0,0,M,Y,N,N,Unknown,0,0,136,0,0,0,0,0,0,0,Unknown,50대,Y
충남,아파트,0,0,0,F,N,N,N,N,0,0,23,14,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,24,13,0,0,0,0,0,0,Unknown,70대,Y
전북,아파트,0,0,0,F,N,N,N,N,0,0,56,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,M,N,Y,N,N,0,0,18,19,0,1,0,0,0,0,Unknown,60대,Y
강원,아파트,0,0,0,M,N,N,N,Unknown,0,0,157,0,0,0,0,0,0,0,Unknown,70대,Y
전남,아파트,0,0,0,F,Y,N,N,N,0,0,81,31,0,0,0,0,0,0,Unknown,60대,Y
경기,일반건물,0,0,0,F,N,Y,N,N,1,0,32,5,0,0,0,0,0,0,광랜,40대,N
